Nama,,Ibukota,,,Kecamatan,Kelurahan,Desa,Luas,Penduduk,Pengentri,Keterangan,http://www.kemendagri.go.id/media/documents/2015/02/25/l/a/lampiran_i.pdf
Aceh,,,,,,,,,,,14-Jun,
 KABUPATEN ACEH SELATAN,,Tapak Tuan,,,18,,260,"3,841.60","226,570",ELBERT,,
 KABUPATEN ACEH TENGGARA,,Kutacane,,,16,,385,"4,231.43","218,007",ELBERT,,
 KABUPATEN ACEH TIMUR,,Idi Rayeuk,,,24,,513,"6,286.01","418,189",ELBERT,,
 KABUPATEN ACEH TENGAH,,Takengon,,,14,,295,"4,318.39","204,835",IDA,,
 KABUPATEN ACEH BARAT,,Meulaboh,,,12,,322,"2,927.95","186,008",IDA,,
 KABUPATEN ACEH BESAR,,Jantho,,,23,,604,"2,969.00","379,429",IDA,,
 KABUPATEN PIDIE,,Sigli,,,23,,727,"3,086.95","433,193",VIKTORY,,
 KABUPATEN ACEH UTARA,,Lhoksukon,,,27,,852,"3,236.86","565,999",VIKTORY,,
 KABUPATEN SIMEULUE,,Sinabang,,,10,,138,"2,051.48","87,558",ANNISA,,
 KABUPATEN ACEH SINGKIL,,Singkil,,,11,,116,"2,185.00","126,833",ANNISA,,
 KABUPATEN BIREUEN,,Bireun,,,17,,609,"1,901.20","426,505",ANNISA,,
 KABUPATEN ACEH BARAT DAYA,,Blangpidie,,,9,,132,"1,490.60","146,453",ANNISA,,
 KABUPATEN GAYO LUES,,Blangkejeren,,,11,,136,"5,719.58","93,136",EKO,,
 KABUPATEN ACEH JAYA,,Calang,,,9,,172,"3,812.99","82,981",EKO,,
 KABUPATEN NAGAN RAYA,,Suka Makmue,,,10,,222,"3,363.72","165,269",EKO,,
 KABUPATEN ACEH TAMIANG,,Karang Baru,,,12,,213,"1,956.72","281,756",EKO,,
 KABUPATEN BENER MERIAH,,Simpang Tiga Rede,,,10,,232,"1,454.09","152,059",EKO,,
 KABUPATEN PIDIE JAYA,,Meureundu,,,8,,222,"1,073.60","153,313",DITA,,
 KOTA BANDA ACEH,,Banda Aceh,,,9,,90,61.36,"235,305",DITA,,
 KOTA SABANG,,Sabang,,,2,,18,153,"38,077",DITA,,
 KOTA LHOKSEUMAWE,,Lhokseumawe,,,4,,68,181.06,"188,221",DITA,,
 KOTA LANGSA,,Langsa,,,5,,66,262.41,"178,334",DITA,,
 KOTA SUBULUSSALAM,,Subulussalam,,,5,,82,"1,391.00","78,801",DITA,,
,,,,,,,,,,,,
Sumatera Utara,,,,,,,,,,,,
 KABUPATEN TAPANULI TENGAH,,Sibolga,,,20,56,159,,,DITA,,
 KABUPATEN TAPANULI UTARA,,Tarutung,,,15,11,241,,,DITA,,
 KABUPATEN TAPANULI SELATAN,,Padang Sidempuan,,,14,37,215,,,,,
 KABUPATEN NIAS,,Gunung Sitoli,,,10,,170,,,,,
 KABUPATEN LANGKAT,,Stabat,,,23,37,240,,,,,
 KABUPATEN KARO,,Kabanjahe,,,17,10,255,,,,,
 KABUPATEN DELI SERDANG,,Lubuk Pakam,,,22,14,380,,,,,
 KABUPATEN SIMALUNGUN,,Pematang Siantar,,,31,27,386,,,,,
 KABUPATEN ASAHAN,,Kisaran,,,25,27,177,,,,,
 KABUPATEN LABUHANBATU,,Rantau Prapat,,,9,23,75,,,,,
 KABUPATEN DAIRI,,Sidikalang,,,15,8,134,,,,,
 KABUPATEN TOBA SAMOSIR,,Balige,,,16,13,230,,,,,
 KABUPATEN MANDAILING NATAL,,Panyabungan,,,23,27,377,,,,,
 KABUPATEN NIAS SELATAN,,Teluk Dalam,,,31,2,459,,,,,
 KABUPATEN PAKPAK BHARAT,,Salak,,,8,,52,,,ILHAM,,
 KABUPATEN HUMBANG HASUNDUTAN,,Dolok Sanggul,,,10,1,153,"2,335.33","191,856",ILHAM,,
 KABUPATEN SAMOSIR,,Pangururan,,,9,6,128,"2,069.05","141,780",ILHAM,,
 KABUPATEN SERDANG BEDAGAI,,Sei Rampah,,,17,6,237,"1,900.22","635,362",ILHAM (Pantai Cermin-Sipispis) / EKO2 (Dolok Merangin-Bintang Byau),,
 KABUPATEN BATU BARA,,Lima Puluh,,,7,10,141,922.2,"346,764",EKO2,,
 KABUPATEN PADANG LAWAS UTARA,,Gunung Tua,,,9,1,387,"3,918.05","263,062",EKO2,,
 KABUPATEN PADANG LAWAS,,Sibuhuan,,,12,1,303,"3,892.74","254,070",ELBERT,,
 KABUPATEN LABUHANBATU SELATAN,,Kotapinang,,,5,2,52,"3,596.00","314,856",ELBERT,,
 KABUPATEN LABUHANBATU UTARA,,Aek Kanopan,,,8,8,82,"3,570.98","384,982",ELBERT,,
 KABUPATEN NIAS UTARA,,Lotu,,,11,1,112,"1,202.78","144,011",ELBERT,,
 KABUPATEN NIAS BARAT,,Lahomi,,,8,,105,473.73,"90,395",ELBERT,,
 KOTA MEDAN,,Medan,,,21,151,,265,"2,465,469",ELBERT,,
 KOTA PEMATANG SIANTAR,,Pematang Siantar,,,8,53,,55.66,"278,055",EKO,,
 KOTA SIBOLGA,,Sibolga,,,4,17,,41.31,"94,971",EKO,,
 KOTA TANJUNG BALAI,,Tanjung Balai,,,6,31,,107.83,"165,763",EKO,,
 KOTA BINJAI,,Binjai,,,5,37,,59.19,"269,053",EKO,,
